tractNumber2006,amount2006
9.33,1107
9330001.01,944
9330001.02,1060
9330002.01,1073
9330002.02,1001
9330003.01,915
9330003.02,1027
9330004.01,1019
9330004.02,1038
9330005.00,885
9330006.01,1066
9330006.02,1195
9330007.01,1171
9330007.02,1804
9330008.01,0
9330008.02,1601
9330009.00,1301
9330010.01,1217
9330010.02,1454
9330011.00,996
9330012.00,1130
9330013.01,891
9330013.02,889
9330014.01,854
9330014.02,854
9330015.01,1000
9330015.02,1003
9330016.01,911
9330016.03,994
9330016.04,925
9330017.01,913
9330017.02,952
9330018.01,988
9330018.02,1021
9330019.00,1018
9330020.00,1356
9330021.00,1839
9330022.00,1300
9330023.00,1489
9330024.00,1510
9330025.00,1499
9330026.00,1411
9330027.00,1418
9330028.00,1721
9330029.00,1321
9330030.00,1102
9330031.01,1247
9330031.02,1090
9330032.00,995
9330033.00,1027
9330034.01,920
9330034.02,1009
9330035.01,927
9330035.02,907
9330036.01,940
9330036.02,1002
9330037.01,1145
9330037.02,1065
9330038.00,1049
9330039.01,1270
9330039.02,1204
9330040.01,1058
9330040.02,958
9330041.01,1130
9330041.02,1347
9330042.00,1390
9330043.01,1350
9330043.02,1596
9330044.00,1334
9330045.01,1650
9330045.02,1360
9330046.00,1131
9330047.01,1089
9330047.02,1098
9330048.00,1200
9330049.01,1271
9330049.02,1153
9330050.02,893
9330050.03,878
9330050.04,754
9330051.00,963
9330052.01,930
9330052.02,894
9330053.01,1044
9330053.02,1013
9330054.01,1048
9330054.02,996
9330055.01,886
9330055.02,872
9330056.01,808
9330056.02,1093
9330057.01,589
9330057.02,863
9330058.00,957
9330059.03,1579
9330059.04,1241
9330059.05,1355
9330059.06,1008
9330060.01,1162
9330060.02,1116
9330061.00,904
9330062.00,935
9330063.00,971
9330064.00,966
9330065.00,1080
9330066.00,1431
9330067.00,1334
9330068.00,1171
9330069.00,1304
9330100.01,1218
9330100.02,1162
9330101.02,1081
9330101.03,1015
9330101.04,1071
9330102.00,1283
9330103.00,1088
9330104.00,1314
9330110.01,1398
9330110.02,1399
9330111.01,1291
9330111.02,1285
9330111.03,1294
9330112.00,1177
9330113.00,1178
9330114.00,1409
9330115.00,1313
9330116.00,1379
9330117.00,1451
9330118.00,1155
9330119.00,1316
9330120.00,1713
9330121.00,1699
9330122.00,1694
9330130.01,1274
9330130.03,1117
9330130.04,0
9330131.00,1712
9330132.00,1939
9330133.01,1526
9330133.02,2038
9330134.00,1902
9330135.00,2040
9330140.02,1053
9330140.03,1057
9330140.04,1305
9330141.00,1130
9330142.01,1079
9330142.02,1124
9330142.03,1039
9330143.01,1140
9330143.02,916
9330143.03,1085
9330143.04,1251
9330144.03,1331
9330144.04,1055
9330144.05,1087
9330144.06,1163
9330145.00,1141
9330146.00,1145
9330147.01,1196
9330147.04,948
9330147.05,1049
9330147.06,955
9330147.07,882
9330147.08,894
9330148.00,862
9330149.02,1187
9330149.03,1242
9330149.04,1026
9330149.05,1303
9330150.00,1059
9330151.01,1097
9330151.03,1087
9330151.05,1077
9330151.06,1119
9330160.01,1321
9330160.02,1154
9330160.03,1211
9330160.04,1087
9330161.01,1289
9330161.02,1064
9330161.03,1108
9330161.05,1025
9330161.06,1144
9330162.01,1051
9330162.02,1065
9330162.03,1004
9330162.04,1375
9330163.01,1086
9330163.04,1087
9330163.05,1027
9330163.06,1007
9330163.07,956
9330163.08,1052
9330170.03,822
9330170.04,1342
9330170.05,815
9330170.06,1236
9330180.01,1742
9330180.02,1144
9330181.01,971
9330181.03,1285
9330181.04,1109
9330181.05,1215
9330181.06,1118
9330181.07,1253
9330181.08,1086
9330181.09,1189
9330182.01,1166
9330182.02,1094
9330182.03,1149
9330182.04,798
9330182.05,1304
9330182.06,1204
9330183.01,1117
9330183.03,1006
9330183.04,1461
9330183.05,1307
9330183.06,1100
9330183.07,1032
9330184.01,1248
9330184.02,886
9330184.05,1043
9330184.06,1182
9330184.07,920
9330184.08,1097
9330184.09,1014
9330184.10,1159
9330184.11,1280
9330185.05,985
9330185.06,1092
9330185.07,1048
9330185.08,1045
9330185.09,983
9330185.10,1048
9330185.11,976
9330185.12,1065
9330185.13,1104
9330185.14,971
9330185.15,978
9330185.16,995
9330186.01,1133
9330186.02,1000
9330186.05,925
9330186.06,1022
9330186.07,1048
9330186.08,1056
9330187.03,1096
9330187.04,1004
9330187.05,1034
9330187.06,1116
9330187.07,1305
9330187.09,1119
9330187.10,1088
9330187.11,1158
9330188.01,1249
9330188.02,1330
9330188.03,1289
9330188.04,1201
9330188.05,1081
9330188.06,983
9330189.03,1031
9330189.05,888
9330189.06,906
9330189.07,1011
9330189.08,827
9330189.09,1023
9330189.10,1028
9330190.01,893
9330190.03,954
9330190.04,1028
9330190.05,892
9330191.02,951
9330191.03,1077
9330191.04,916
9330192.00,1007
9330200.00,1176
9330201.00,1188
9330202.00,958
9330203.00,1073
9330204.01,912
9330204.02,1035
9330205.01,916
9330205.02,820
9330206.00,943
9330207.00,934
9330208.00,1121
9330209.00,1068
9330210.00,1000
9330220.00,1268
9330221.01,1172
9330221.03,1092
9330221.04,1014
9330222.01,1032
9330222.02,1080
9330223.01,1025
9330223.02,975
9330224.01,975
9330224.02,888
9330225.01,1047
9330225.02,981
9330226.02,1030
9330226.03,875
9330226.04,783
9330227.01,746
9330227.02,780
9330228.02,1080
9330228.03,891
9330228.04,866
9330229.00,964
9330230.01,1010
9330230.02,1050
9330231.00,1147
9330232.00,1097
9330233.00,1056
9330234.00,1137
9330235.02,1074
9330235.03,878
9330235.04,960
9330236.00,1317
9330237.00,1022
9330238.01,1134
9330238.02,1026
9330239.00,973
9330240.01,1144
9330240.02,922
9330241.00,1047
9330242.00,1051
9330243.01,1040
9330243.02,1120
9330250.01,1227
9330250.02,1433
9330251.00,228
9330260.02,1175
9330260.04,1224
9330260.05,956
9330260.06,1289
9330260.07,1178
9330260.08,1545
9330280.00,1221
9330281.01,1123
9330281.02,1069
9330282.00,976
9330283.00,987
9330284.01,988
9330284.02,1049
9330285.01,875
9330285.02,1082
9330286.01,1136
9330286.02,1063
9330286.03,1139
9330287.01,1163
9330287.02,1204
9330287.06,1124
9330287.08,978
9330287.09,839
9330287.10,1469
9330287.11,1160
9330287.12,1328
9330287.13,1505
9330287.14,1418
9330290.02,948
9330290.03,1106
9330290.04,1260
9330290.05,1108
9330291.01,990
9330291.02,1040
9330292.01,1146
9330292.03,1178
9330292.04,1183
9330400.02,1103
9330400.03,1274
9330400.04,1317
9330401.01,1037
9330401.02,880
9330402.01,1026
9330402.02,1045
9330403.01,1081
9330403.03,1035
9330403.04,1129
9330403.05,1117
9330404.01,1205
9330404.02,1204
9330410.02,959
9330410.03,1035
9330410.04,963
9330500.00,976
9330501.01,1031
