GeoCode,Province,City,tract,x,description,description2,y,amount2011
9330001.01,British Columbia,Vancouver,1.01,21.6,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,860
9330001.02,British Columbia,Vancouver,1.02,22.3,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,886
9330002.01,British Columbia,Vancouver,2.01,27.3,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,944
9330002.03,British Columbia,Vancouver,2.03,24.6,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,946
9330002.04,British Columbia,Vancouver,2.04,27.7,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1140
9330003.01,British Columbia,Vancouver,3.01,24.2,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,932
9330003.02,British Columbia,Vancouver,3.02,22.8,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,944
9330004.01,British Columbia,Vancouver,4.01,20.3,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,952
9330004.02,British Columbia,Vancouver,4.02,25,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,940
9330005.00,British Columbia,Vancouver,5,27.1,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,875
9330006.01,British Columbia,Vancouver,6.01,25.4,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1208
9330006.02,British Columbia,Vancouver,6.02,25.2,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1070
9330007.01,British Columbia,Vancouver,7.01,27.6,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,901
9330007.02,British Columbia,Vancouver,7.02,27,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1890
9330008.01,British Columbia,Vancouver,8.01,32.7,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,0
9330008.02,British Columbia,Vancouver,8.02,29.1,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1959
9330009.00,British Columbia,Vancouver,9,29.8,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1275
9330010.01,British Columbia,Vancouver,10.01,27.3,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1470
9330010.02,British Columbia,Vancouver,10.02,23.9,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1510
9330011.00,British Columbia,Vancouver,11,26.6,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,836
9330012.00,British Columbia,Vancouver,12,25.9,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,937
9330013.01,British Columbia,Vancouver,13.01,26.5,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,938
9330013.03,British Columbia,Vancouver,13.03,26.3,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,847
9330013.04,British Columbia,Vancouver,13.04,29.2,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,837
9330014.01,British Columbia,Vancouver,14.01,32.5,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,960
9330014.02,British Columbia,Vancouver,14.02,25,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,717
9330015.01,British Columbia,Vancouver,15.01,29.5,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,833
9330015.02,British Columbia,Vancouver,15.02,31.2,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,881
9330016.01,British Columbia,Vancouver,16.01,29.1,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,834
9330016.04,British Columbia,Vancouver,16.04,27.5,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,872
9330016.05,British Columbia,Vancouver,16.05,20.1,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,858
9330016.06,British Columbia,Vancouver,16.06,15.6,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1221
9330017.01,British Columbia,Vancouver,17.01,25.3,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,910
9330017.02,British Columbia,Vancouver,17.02,25.4,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,885
